Name,Subject,Type,Course Number,Theme,Designer,Lead Editor,Status,Minutes of Content,Number of Videos
Watercolor Painting,Art,Galactic,5,,Valeria,,Planning,,
"Basic Forms/Design a Paper City ",Art,Galactic,6,,Eduard Galkin,,Planning,,
Traditional Collage,Art,Galactic,7,,Lisa Wong,Leys C,Published,12,3
Tubi Animation 101,Art,Galactic,8,,Maxdemian Lee,Maxdemian Lee,Published,19,5
Collage in Painting,Art,Galactic,8,,Lisa Wong,Leys C,Published,20,4
Digital Collage,Art,Galactic,9,,Lisa Wong,Leys C,Published,10,3
Character Design Your Face,Art,Galactic,10,,Ming Siew Leong,Gochapan Tanaryan,Published,24,4
Art With Found Objects,Art,Galactic,11,,Andrea Rodriguez,Gochapan Tanaryan,Published,9,4
Character: Drawing Emotions,Art,Galactic,12,,Ming Siew Leong,,,,
Art Appreciation,Art,Galactic,13,,Jennifer Nicklas,Gochapan Tanaryan,Published,16,5
Performing Arts,Art,Galactic,14,,Katie Fogarty,,Ready For Editing,,
The Magic of Music,Art,Galactic,15,,Music Lover,,Published,18,5
Nova Crafteria,Art,Cosmic,1,,Jaffey Wang,Jaffey Wang,Published,15,6
Procreate,Art,Cosmic,2,,Marco Yung,Marco Yung,Published,17,5
Special Instruments,Art,Cosmic,3,,Marco Yung,Marco Yung,Published,9,5
ProCreate Beginner (Paint),Art,Cosmic,4,,"Marco Yung, Maxdemian Lee",Marco Yung,Published,12,13
Move Jungle Escape,Future Ready,Galactic,1,,Nadira Hamdam,Gochapan Tanaryan,Published,14,7
Jobs and Jokes,Future Ready,Galactic,1,,,Gochapan Tanaryan,Published,13,5
Safari Yoga,Future Ready,Galactic,2,,Jyothi Fong,Gochapan Tanaryan,Published,12,7
Breakfast with Nana,Future Ready,Galactic,2,,Nana Wong,Gochapan Tanaryan,Published,36,7
Finance Basics,Future Ready,Galactic,3,,Andy Chong,Maxdemian Lee,Published,16,6
Kids Biz,Future Ready,Galactic,4,,Laura Cortés,Maxdemian Lee,Published,13,5
"Fund Your Ideas with Kickstarter ",Future Ready,Galactic,5,,Carrie Leung,Maxdemian Lee,Published,34,6
Mindfulness with Your Senses,Future Ready,Galactic,6,,Daniela,Gochapan Tanaryan,Published,16,6
Ukelele Jingles,Future Ready,Galactic,7,,,,,,
Mindfulness & ME,Future Ready,Galactic,8,,Daniela,,,,
Nutrition,Future Ready,Galactic,9,,Li,,Planning,,
How To Be A Cat,Future Ready,Cosmic,1,,Stephen Phillips,Stephen Phillips,Published,2,1
Magical Eggs,Future Ready,Cosmic,2,,Jaffey Wang,Jaffey Wang,Published,3,1
Internet Safety,Future Ready,Cosmic,3,,Jaffey Wang,Jaffey Wang,Published,13,5
Rice Trip,Future Ready,Cosmic,4,,Jaffey Wang,Jaffey Wang,Published,13,7
Wow! Toys. You are old.,Future Ready,Cosmic,5,,Jaffey Wang,Jaffey Wang,Published,8,3
Enviromental Friendly,Future Ready,Cosmic,6,,Marco Yung,Marco Yung,Planning,,
"Strange Places ",Future Ready,Cosmic,7,,Michael Mak,,Planning,,
Greek Mythology,Future Ready,Cosmic,8,,,,Planning,,
Gender Equality,Future Ready,Cosmic,9,,,,Planning,,
Chinese Mythology,Future Ready,Cosmic,10,,,,Planning,,
Great Inventions,Future Ready,Cosmic,11,,,,Planning,,
Your Virtual Life,Future Ready,Cosmic,12,,Sean,Sean,Published,14,4
Gaming,Future Ready,,,,,,Planning,,
Cooking,Future Ready,,,,,,Planning,,
African Art,Future Ready,,,,,,Planning,,
Childrens Book,Future Ready,,,,,,Planning,,
ChatBot,Future Ready,,,,,,Planning,,
Crypto,Future Ready,,,,,,Writing Scripts,,
Scratch Coding,Future Ready,,,,,,Scripts Complete,,
Eco Sol Sustainability,Future Ready,,,,"Razeen KHAN [12N25], Ethan YUEN [12U21]",,Editing,,5
AI,Future Ready,,,,Sean,,Planning,,
Tennis Basics,Movement,Galactic,3,,,,,,
Basketball Blast Off,Movement,Galactic,4,,,,,,
The Wonder of Hand Tools,Make,Nova,1,1,James Simpson,,Uploaded,,
The Wonder of Adhesive Tools,Make,Nova,2,1,James Simpson,,Ready For Editing,,
Mr. K Builds,Make,Nova,3,1,James Simpson,,Published,,
Makerspace Hand Tools Tour,Make,Nova,4,1,James Simpson,,Writing Scripts,,
The Wonder of Electronic Tools,Make,Nova,5,2,James Simpson,,Uploaded,,
Electronics Tools Tour (hold),Make,Nova,6,2,James Simpson,,Planning,,
Electric Clothes (Bekonix),Make,Nova,7,2,James Simpson,,Planning,,
"MakeFashion Edu (LED color, line, shape)",Make,Nova,8,2,James Simpson,"Maxdemian Lee, Jaffey Wang",Published,16,5
Video Production,Make,Nova,9,6,James Simpson,,Planning,,
Fabrication Tools Tour,Make,Nova,10,3,James Simpson,,Planning,,
TinkerCAD,Make,Nova,11,3,James Simpson,,Planning,,
Astronaut Phone Case (witeboard),Make,Nova,12,4,James Simpson,Gochapan Tanaryan,Published,24,4
Taking Flight (witeboard),Make,Nova,13,4,James Simpson,Gochapan Tanaryan,Published,35,7
Mars Town (Icogram),Make,Nova,14,4,James Simpson,,Published,29,5
Dusty Town (Icogram),Make,Nova,15,4,James Simpson,Stephen Phillips,Published,37,5
Sidescroller Coding,Make,Nova,17,5,James Simpson,Gochapan Tanaryan,Published,29,6
Coding Video Games and Fighting Space Food,Make,Nova,18,5,James Simpson,Gochapan Tanaryan,Published,31,4
Hour of Code Intro,Make,Nova,19,5,James Simpson,,Planning,,
Hour of Code Builder,Make,Nova,20,5,James Simpson,,Planning,,
Maker Photo (Phone Camera),Make,Nova,21,6,James Simpson,,Planning,,
Maker Post (Canva),Make,Nova,22.1,6,James Simpson,,Planning,,
Virtual Gallery (Hubs),Make,Nova,23,6,James Simpson,,Planning,,
Maker Video (Clips),Make,Nova,24.1,6,James Simpson,,Planning,,
Electric City (Bekonix),Make,Nova,26,2,James Simpson,,Planning,,
Filmmaking,Make,Galactic,,,Sean,,Editing,,
Unit1 拼音+问候,Mandarin,Nova,1,1,Lynn Luo,Jaffey Wang,Published,26,7
Unit2 数字(更新完),Mandarin,Nova,2,1,Lynn Luo,Jaffey Wang,Published,14,5
"Unit6 日常生活 ",Mandarin,Nova,3,1,Lynn Luo,Jaffey Wang,Ready For Scripts,,
Unit3  认识自我,Mandarin,Nova,4,1,Lynn Luo,Jaffey Wang,Ready For Scripts,,
Unit4颜色和水果,Mandarin,Nova,5,1,Lynn Luo,Jaffey Wang,Ready For Scripts,,
Unit5 方位,Mandarin,Nova,6,1,Lynn Luo,,Ready For Scripts,,
"Unit7 职业  ",Mandarin,Nova,7,1,Lynn Luo,,Ready For Scripts,,
Unit8 在学校,Mandarin,Nova,8,1,Lynn Luo,,Ready For Scripts,,
Unit9 季节,Mandarin,Nova,9,1,Lynn Luo,,Ready For Scripts,,
Unit10 爱好,Mandarin,Nova,10,1,Lynn Luo,,Ready For Scripts,,
"Unit11 食物 ",Mandarin,Nova,11,1,Lynn Luo,,Planning,,
Unit 12 外出就餐,Mandarin,Nova,12,1,Lynn Luo,,Planning,,
"Unit15 问路 ",Mandarin,Nova,14,1,Lynn Luo,,Planning,,
Unit13 看病,Mandarin,Nova,14,1,Lynn Luo,,Planning,,
Unit 14 游戏,Mandarin,Nova,15,1,Lynn Luo,,Planning,,
Unit 16 零食,Mandarin,Nova,16,1,Lynn Luo,,Planning,,
Unit17 菜市场,Mandarin,Nova,17,1,Lynn Luo,,Planning,,
Unit 18 学校,Mandarin,Nova,18,1,Lynn Luo,,Planning,,
Unit19 节日,Mandarin,Nova,19,1,Lynn Luo,,Planning,,
Unit20 旅游,Mandarin,Nova,20,1,Lynn Luo,,Planning,,
Web3,,,,,Sean,,Planning,,
Course Plan 2,,,,,,,,,
,,,,,,,,,
